,processor,performance,cost
0,Apple A13 Bionic,Super High,1500
1,Qualcomm Snapdragon 865,Super High,1500
2,Apple A12 Bionic,Super High,1500
3,HiSilicon Kirin 990,Super High,1500
4,Samsung Exynos 990,Super High,1500
5,Qualcomm Snapdragon 855 Plus,Super High,1500
6,Qualcomm Snapdragon 855,Super High,1500
7,Samsung Exynos 9825,Super High,1500
8,Samsung Exynos 9820,Super High,1500
9,Apple A11 Bionic,Super High,1500
10,HiSilicon Kirin 980,Super High,1500
11,Samsung Exynos 9810,Super High,1500
12,Qualcomm Snapdragon 845,Super High,1500
13,Qualcomm Snapdragon 765G,Super High,1500
14,HiSilicon Kirin 810,Super High,1500
15,Qualcomm Snapdragon 730G,Super High,1500
16,Qualcomm Snapdragon 720G,Super High,1500
17,MediaTek Helio G90T,Super High,1500
18,Qualcomm Snapdragon 730,Super High,1500
19,MediaTek Helio P95,High,1000
20,MediaTek Helio P90,High,1000
21,HiSilicon Kirin 970,High,1000
22,HiSilicon Kirin 960,High,1000
23,Qualcomm Snapdragon 675,High,1000
24,Samsung Exynos 8895,High,1000
25,Qualcomm Snapdragon 835,High,1000
26,Qualcomm Snapdragon 712,High,1000
27,MediaTek Helio G80,High,1000
28,MediaTek Helio G70,High,1000
29,Samsung Exynos 8890,High,1000
30,Samsung Exynos 9611,High,1000
31,Samsung Exynos 9610,High,1000
32,HiSilicon Kirin 955,High,1000
33,HiSilicon Kirin 950,High,1000
34,Samsung Exynos 9609,High,1000
35,Apple A10 Fusion,High,1000
36,MediaTek Helio P65,High,1000
37,Qualcomm Snapdragon 710,High,1000
38,Qualcomm Snapdragon 670,High,1000
39,Qualcomm Snapdragon 665,High,1000
40,Qualcomm Snapdragon 660,High,1000
41,Hisilicon Kirin 710F,High,1000
42,Hisilicon Kirin 710,High,1000
43,MediaTek Helio P70,High,1000
44,Qualcomm Snapdragon 821,High,1000
45,Qualcomm Snapdragon 820,High,1000
46,Samsung Exynos 7885,Moderate,500
47,Mediatek Helio P60,Moderate,500
48,Samsung Exynos 7420,Moderate,500
49,Apple A9,Moderate,500
50,Qualcomm Snapdragon 653,Moderate,500
51,MediaTek Helio X23,Moderate,500
